"","x"
"scarc",2
"simplist",2
"smell",2
"unappreci",2
"unrecogn",2
"dysfunct",2
"estim",2
"likelihood",2
"nine",2
"riski",2
"sphere",2
"syndrom",2
"tom",2
"ambiv",2
"anybodi",2
"bearer",2
"bold",2
"crusad",2
"necess",2
"antec",2
"champion",2
"clerk",2
"critiqu",2
"daili",2
"detach",2
"dispass",2
"dive",2
"drucker",2
"garden",2
"gurus",2
"heideggerean",2
"interrel",2
"motionless",2
"climat",2
"factual",2
"quantit",2
"saucer",2
"somehow",2
"throw",2
"unambigu",2
"instructor",2
"introductori",2
"ivori",2
"tower",2
"communiqu",2
"decrea",2
"dictionari",2
"empti",2
"revv",2
"unstabl",2
"acustom",1
"andaddress",1
"antiqu",1
"aristotl",1
"ascustom",1
"augment",1
"beforehand",1
"businessth",1
"calcul",1
"centric",1
"chen",1
"claimant",1
"crm",1
"cumbersom",1
"diametr",1
"ensu",1
"entireti",1
"evermor",1
"falsiti",1
"flow",1
"greek",1
"hing",1
"huge",1
"iecollect",1
"insofar",1
"intersubject",1
"invalu",1
"jurgen",1
"kall",1
"lifeblood",1
"muddi",1
"notationspractit",1
"ofent",1
"onus",1
"organationth",1
"ownership",1
"pave",1
"plato",1
"puriti",1
"rationail",1
"refin",1
"restrict",1
"shrift",1
"simplest",1
"socrat",1
"supplement",1
"taint",1
"techniqueshowev",1
"theprincipl",1
"thetruth",1
"uncontroversi",1
"undocu",1
"verif",1
"vesselsalthough",1
"warn",1
"wherein",1
"buckingham",1
"plot",1
"simon",1
"approxim",1
"artifici",1
"athlet",1
"baton",1
"belli",1
"buck",1
"conduct",1
"conductor",1
"courag",1
"creativ",1
"cxos",1
"deliveri",1
"detour",1
"elus",1
"ensembl",1
"exceed",1
"fire",1
"flip",1
"flourish",1
"grant",1
"homogen",1
"impart",1
"ineffect",1
"inenterpri",1
"instruct",1
"intra",1
"limelight",1
"magic",1
"mandat",1
"mass",1
"membership",1
"par",1
"pin",1
"pitfal",1
"redefin",1
"rein",1
"ruth",1
"sidelin",1
"sport",1
"stabil",1
"stabl",1
"straw",1
"tear",1
"tendenc",1
"theleadership",1
"threat",1
"tide",1
"translat",1
"underway",1
"villain",1
"visibl",1
"ace",1
"agilista",1
"anywh",1
"arbit",1
"arescapego",1
"assort",1
"attain",1
"bewar",1
"bidder",1
"bizarr",1
"buffett",1
"byproduct",1
"cameo",1
"cautionari",1
"checkbox",1
"clutch",1
"cya",1
"cynefin",1
"defineeffici",1
"devoid",1
"diktat",1
"disastr",1
"dislik",1
"dispen",1
"doom",1
"draft",1
"drown",1
"encapsul",1
"endeavour",1
"english",1
"entitledconfess",1
"epitom",1
"evangel",1
"expand",1
"fog",1
"gerald",1
"hibino",1
"hype",1
"indigen",1
"innum",1
"letter",1
"liber",1
"marketplac",1
"midwif",1
"nadler",1
"narrow",1
"nextprincipl",1
"nichola",1
"nuanc",1
"offshor",1
"ofth",1
"ofwick",1
"oner",1
"orenterpri",1
"penal",1
"platitudin",1
"pointless",1
"preclud",1
"preten",1
"propag",1
"pull",1
"punish",1
"ream",1
"recip",1
"remaind",1
"reserv",1
"righteous",1
"salesperson",1
"script",1
"seed",1
"serendip",1
"serendipit",1
"shozo",1
"snowden",1
"sop",1
"sow",1
"stone",1
"symmetri",1
"taleb",1
"tiebreak",1
"town",1
"trickier",1
"unabl",1
"unattain",1
"vogu",1
"voip",1
"wari",1
"warren",1
"administr",1
"age",1
"aggreg",1
"ahypergraph",1
"altruist",1
"android",1
"anew",1
"archiv",1
"australian",1
"award",1
"backstori",1
"baltimor",1
"begeman",1
"beginn",1
"berkeley",1
"bike",1
"blue",1
"breadcrumb",1
"brow",1
"catali",1
"changer",1
"children",1
"chow",1
"clip",1
"clunki",1
"collaborativedesign",1
"counterplay",1
"creation",1
"deck",1
"demo",1
"director",1
"disk",1
"documentalist",1
"download",1
"drone",1
"edg",1
"edison",1
"exert",1
"exploratori",1
"farm",1
"ffwd",1
"florida",1
"fluenci",1
"folder",1
"foresaw",1
"freewar",1
"glymafi",1
"graduat",1
"grasp",1
"harm",1
"hood",1
"hook",1
"hypermedia",1
"icon",1
"incess",1
"interconnect",1
"jealous",1
"jnr",1
"juli",1
"keynot",1
"keystrok",1
"librarian",1
"longstand",1
"mapper",1
"masteri",1
"mediat",1
"misinterpret",1
"moodl",1
"neighbour",1
"newer",1
"notabl",1
"oppon",1
"pertin",1
"planner",1
"postfor",1
"postor",1
"predecessor",1
"preoccup",1
"prohibit",1
"prose",1
"qoc",1
"quaint",1
"red",1
"reject",1
"remot",1
"repri",1
"retriev",1
"rew",1
"schedul",1
"showca",1
"silverlight",1
"slideshar",1
"snippet",1
"subtop",1
"succinct",1
"supplementari",1
"surround",1
"tea",1
"track",1
"traction",1
"trail",1
"triall",1
"unstructur",1
"updat",1
"uptim",1
"valuabl",1
"vertic",1
"visuali",1
"yellow",1
"zulli",1
"atmosph",1
"attrit",1
"backdrop",1
"bureaucrati",1
"civil",1
"clash",1
"coalfield",1
"composit",1
"compound",1
"disorgani",1
"disrupt",1
"echo",1
"eric",1
"factori",1
"ford",1
"founder",1
"glare",1
"interchang",1
"ken",1
"marrow",1
"minimum",1
"older",1
"pit",1
"plagu",1
"recaptur",1
"recount",1
"referenc",1
"regul",1
"reorgani",1
"subdivid",1
"supportth",1
"surviv",1
"taylor",1
"trustworthi",1
"viabl",1
"wage",1
"workcycl",1
"yorkshir",1
"admiss",1
"ahead",1
"beneath",1
"calculus",1
"categor",1
"channel",1
"convert",1
"copernicus",1
"culpabliss",1
"etern",1
"figment",1
"gravit",1
"gravityi",1
"inquiri",1
"manufactur",1
"metalogu",1
"millennia",1
"painstak",1
"penuri",1
"ptolemi",1
"quo",1
"rdspringercom",1
"rebutt",1
"recant",1
"replet",1
"seduc",1
"solar",1
"unanticip",1
"uniti",1
"zeno",1
"arrest",1
"automat",1
"bed",1
"beli",1
"crucial",1
"eager",1
"electr",1
"expan",1
"explo",1
"fee",1
"heterogen",1
"imposit",1
"incur",1
"infrastuctur",1
"interweav",1
"intricaci",1
"irrespect",1
"jensen",1
"mainten",1
"monolith",1
"nullifi",1
"ofenterpri",1
"others’",1
"papersuggest",1
"parent",1
"plethora",1
"profound",1
"random",1
"sap",1
"shortlist",1
"sour",1
"span",1
"thirti",1
"transact",1
"underestim",1
"unwieldi",1
"verifi",1
"waud",1
"acquiesc",1
"addam",1
"againhop",1
"albeit",1
"allianc",1
"ancient",1
"behav",1
"beingsand",1
"betray",1
"billion",1
"biodiv",1
"bradi",1
"brutus",1
"budgetbut",1
"butemerg",1
"caesar’",1
"carnabi",1
"changeand",1
"circuit",1
"cockatoo",1
"cogniz",1
"commensur",1
"consequencesand",1
"council",1
"counterpart",1
"depth",1
"devolv",1
"discretionari",1
"doesn’t",1
"east",1
"eastern",1
"editors’",1
"email",1
"enact",1
"envelop",1
"fifti",1
"fixat",1
"followership",1
"freedom",1
"goo",1
"graeco",1
"grea",1
"guest",1
"guyh",1
"habitat",1
"hackman’",1
"heat",1
"heroic",1
"homer",1
"iliad",1
"inci",1
"indeedand",1
"interestingi’d",1
"interventionist",1
"intp",1
"itwhich",1
"kick",1
"latch",1
"leader’",1
"likeand",1
"load",1
"loo",1
"loudest",1
"masterclass",1
"moon",1
"movi",1
"nest",1
"odyssey",1
"ofdelib",1
"onand",1
"org",1
"overshadow",1
"pink",1
"powerand",1
"psychiatri",1
"psychologistwhat",1
"psychologist’",1
"psychometr",1
"radio",1
"rationalityand",1
"regist",1
"reson",1
"revert",1
"roman",1
"satisfactori",1
"singapor",1
"slay",1
"squeaki",1
"star",1
"stickythat",1
"subordin",1
"tail",1
"taleb’",1
"trump",1
"unbia",1
"uncanni",1
"uptak",1
"wheel",1
"workand",1
"’ll",1
"afloat",1
"aha",1
"announc",1
"apolog",1
"asharepoint",1
"beggar",1
"bell",1
"bird",1
"boardroom",1
"bower",1
"brainless",1
"butt",1
"career",1
"cheer",1
"cherri",1
"chest",1
"coda",1
"compress",1
"conquer",1
"cooki",1
"cooler",1
"crass",1
"curriculum",1
"cutter",1
"daunt",1
"deadlock",1
"delphi",1
"deserv",1
"distract",1
"dress",1
"elev",1
"encyclopedia",1
"endless",1
"epic",1
"everybodi",1
"evil",1
"feed",1
"feeli",1
"fest",1
"flipchart",1
"fortun",1
"freebi",1
"gamestorm",1
"glad",1
"gold",1
"grad",1
"gui",1
"hat",1
"hindranc",1
"holist",1
"homework",1
"impract",1
"incid",1
"justit",1
"kpilibrarycom",1
"lookout",1
"metric",1
"mire",1
"neglect",1
"neuroscientist",1
"nowaday",1
"nudg",1
"nutshel",1
"ofdialogu",1
"outfit",1
"output",1
"parabl",1
"petard",1
"photoshop",1
"pitch",1
"plenti",1
"pop",1
"preset",1
"procur",1
"professor",1
"pub",1
"pun",1
"pure",1
"reminisc",1
"resurrect",1
"roadblock",1
"robin",1
"safer",1
"scare",1
"scari",1
"sent",1
"shire",1
"simpler",1
"sink",1
"sleight",1
"slight",1
"sneaki",1
"spark",1
"specialti",1
"spoon",1
"stack",1
"stagger",1
"stalk",1
"subtleti",1
"successor",1
"suck",1
"swig",1
"tack",1
"termleft",1
"thatincrea",1
"thatquest",1
"thecompendium",1
"tibetan",1
"touchi",1
"trash",1
"tremend",1
"uncomfort",1
"unfair",1
"unfamiliar",1
"unwritten",1
"versatil",1
"viscer",1
"vivid",1
"wall",1
"water",1
"weird",1
"wouldnt",1
"yep",1
"yield",1
"accus",1
"criteriath",1
"deriv",1
"garb",1
"gross",1
"metaphi",1
"mirror",1
"overblown",1
"pair",1
"polymath",1
"predetermin",1
"rough",1
"snow",1
"acquir",1
"amen",1
"anchor",1
"disea",1
"disturb",1
"donald",1
"episod",1
"hammer",1
"hone",1
"jumbl",1
"laboratori",1
"lump",1
"pace",1
"pad",1
"peculiar",1
"phenomena",1
"physician",1
"pour",1
"predica",1
"pretend",1
"prevail",1
"redress",1
"rehear",1
"resign",1
"schoen",1
"simul",1
"snap",1
"stick",1
"thanhow",1
"transport",1
"urgent",1
"vagu",1
"wobbl",1
"yard",1
"atm",1
"baggag",1
"corral",1
"cue",1
"denver",1
"empow",1
"engend",1
"entitledclu",1
"fiat",1
"intim",1
"intrin",1
"irrevoc",1
"merck",1
"nasti",1
"novelti",1
"overestim",1
"parlanc",1
"pastur",1
"preval",1
"render",1
"sentenc",1
"soth",1
"spontan",1
"temporari",1
"theyk",1
"twist",1
"underscor",1
"vioxx",1
"anom",1
"black",1
"blackwel",1
"blend",1
"bullet",1
"citat",1
"clark",1
"cursori",1
"declar",1
"doctor",1
"ethnograph",1
"fincham",1
"float",1
"forgo",1
"gung",1
"hatchet",1
"indulg",1
"ipma",1
"jackal",1
"jungl",1
"lawyer",1
"layoff",1
"literatur",1
"mat",1
"messiah",1
"mingl",1
"occas",1
"offen",1
"princ",1
"rightsiz",1
"robert",1
"selfless",1
"silver",1
"slip",1
"smes",1
"technocrat",1
"threaten",1
"troublesom",1
"tuck",1
"violent",1
"virtuoso",1
"wild",1
"witch",1
"‘s",1
"‘work",1
"affili",1
"analyt",1
"balanc",1
"belong",1
"bicker",1
"detriment",1
"distort",1
"enthusiast",1
"facad",1
"fief",1
"formula",1
"hijack",1
"irrat",1
"loyalti",1
"lynn",1
"manouev",1
"markus",1
"outrank",1
"penchant",1
"player",1
"politick",1
"profici",1
"rank",1
"ritualsthat",1
"robey",1
"roll",1
"signifi",1
"subvert",1
"symboli",1
"tester",1
"trainer",1
"truism",1
"turf",1
"veneer",1
"waterf",1
"actuallyinflu",1
"administ",1
"ampli",1
"automata",1
"brian",1
"decompo",1
"disconnect",1
"drag",1
"enthusiasm",1
"faith",1
"feet",1
"flowchart",1
"folli",1
"grew",1
"grid",1
"ideali",1
"idiosyncrat",1
"invok",1
"licen",1
"martha",1
"materialview",1
"myriad",1
"nearer",1
"obstacl",1
"orchestra",1
"packag",1
"practi",1
"progress",1
"redesign",1
"restat",1
"spreadsheet",1
"stall",1
"strongest",1
"subscrib",1
"tip",1
"tweak",1
"unhe",1
"unravel",1
"vain",1
"weakest",1
"worthwhil",1
"asystem",1
"breed",1
"causat",1
"chernobyl",1
"colloqui",1
"combat",1
"dormant",1
"duffield",1
"duke",1
"ephem",1
"erstwhil",1
"faulti",1
"fromhttp",1
"fund",1
"hospit",1
"hunt",1
"isol",1
"jon",1
"medicin",1
"mess",1
"minimi",1
"mishap",1
"momentari",1
"mosquito",1
"nuclear",1
"patientsafetyedduhsdukeedu",1
"plant",1
"remedi",1
"resid",1
"soviet",1
"swat",1
"swisscheesehtml",1
"temporarili",1
"traffic",1
"union",1
"unstat",1
"whitti",1
"aficionado",1
"afterword",1
"alacr",1
"allur",1
"april",1
"baron",1
"behoov",1
"bid",1
"bloc",1
"breath",1
"chuckl",1
"column",1
"conan",1
"contempl",1
"convey",1
"credibl",1
"departur",1
"desper",1
"detr",1
"doyl",1
"exclaim",1
"farewel",1
"foray",1
"friendship",1
"fulfil",1
"gartner",1
"hadnt",1
"improb",1
"incontrovert",1
"interject",1
"kneejerk",1
"knowi",1
"loath",1
"lordstandish",1
"magnitud",1
"mckinsey",1
"misdiagno",1
"neck",1
"offhand",1
"overwhelm",1
"permit",1
"pet",1
"pilfer",1
"prompt",1
"proof",1
"raison",1
"reactiv",1
"refut",1
"requirementsand",1
"sacrif",1
"sardon",1
"shock",1
"simplic",1
"slowli",1
"sorri",1
"specious",1
"spous",1
"stricter",1
"summer",1
"suspici",1
"symptomat",1
"thumb",1
"tighten",1
"tone",1
"unaccept",1
"undertook",1
"wore",1
"‘incontrovert",1
"‘thing",1
"abod",1
"abrupt",1
"affirm",1
"afraid",1
"ale",1
"apropo",1
"bore",1
"capit",1
"charm",1
"child",1
"choke",1
"clock",1
"cock",1
"complaint",1
"condescend",1
"curt",1
"deduct",1
"disconcert",1
"evang",1
"exasp",1
"excruci",1
"eyebrow",1
"fame",1
"fanci",1
"fetch",1
"fete",1
"fetishist",1
"firm",1
"flash",1
"fork",1
"headach",1
"heart",1
"hypothesi",1
"illus",1
"inquir",1
"insuff",1
"kitchen",1
"lucrat",1
"modesti",1
"mouth",1
"mull",1
"napkin",1
"overs",1
"portent",1
"postmortem",1
"propen",1
"publici",1
"reinvent",1
"rose",1
"sleep",1
"slim",1
"surgeri",1
"suspen",1
"templat",1
"timefram",1
"toy",1
"undoubt",1
"utter",1
"wastel",1
"wire",1
"yesterday",1
"absurd",1
"accuraci",1
"acquaint",1
"anonym",1
"beprogram",1
"button",1
"cheerlead",1
"cio",1
"collector",1
"competitor",1
"controversi",1
"cumul",1
"danah",1
"differenti",1
"dilbert",1
"downplay",1
"duli",1
"evangelist",1
"favourit",1
"flu",1
"fourth",1
"fret",1
"geoffrey",1
"hadoop",1
"hot",1
"hypoth",1
"indispen",1
"inventori",1
"kate",1
"logist",1
"mirag",1
"na�",1
"nosql",1
"pass�",1
"peddl",1
"provoc",1
"provok",1
"repositori",1
"shop",1
"swallow",1
"tenet",1
"thenam",1
"theundercov",1
"tim",1
"transplant",1
"trumpet",1
"uncannili",1
"uncrit",1
"unprocess",1
"unquest",1
"usabl",1
"webopedia",1
"wholes",1
"yardstick",1
"ackoff",1
"blith",1
"deviat",1
"disadvantag",1
"dose",1
"echelon",1
"extra",1
"forb",1
"hugh",1
"influenti",1
"jason",1
"lazi",1
"off",1
"passag",1
"penalti",1
"prime",1
"privileg",1
"referenti",1
"reimbur",1
"roadmap",1
"russel",1
"satisfi",1
"shun",1
"surfeit",1
"tangibl",1
"throughput",1
"undertak",1
"asia",1
"bah",1
"bemus",1
"besid",1
"bestow",1
"blow",1
"blurt",1
"bother",1
"brand",1
"caveat",1
"clown",1
"countri",1
"cur",1
"dilig",1
"dismiss",1
"dri",1
"eight",1
"enunci",1
"europ",1
"explet",1
"fantast",1
"fond",1
"funniest",1
"gaze",1
"gotten",1
"grab",1
"hatch",1
"havent",1
"hed",1
"hogwash",1
"hundr",1
"hurri",1
"impati",1
"impecc",1
"imperi",1
"inappropri",1
"ineffectu",1
"insist",1
"insult",1
"jump",1
"keen",1
"knuckl",1
"lauren",1
"lesser",1
"lest",1
"liz",1
"mal",1
"million",1
"minus",1
"mortal",1
"mug",1
"notch",1
"nub",1
"pah",1
"pfft",1
"prank",1
"presumptu",1
"pride",1
"progeni",1
"proofread",1
"rude",1
"scene",1
"shirt",1
"shouldv",1
"smartar",1
"solid",1
"spat",1
"spoilt",1
"spread",1
"sputter",1
"squeak",1
"swear",1
"testili",1
"thicker",1
"throat",1
"tire",1
"tissu",1
"twing",1
"unseem",1
"unverifi",1
"upend",1
"wake",1
"wha",1
"wise",1
"wtf",1
"youtub",1
"‘judgement",1
"redux",1
"shortest",1
"videoscrib",1
"amaz",1
"angl",1
"apologet",1
"arcan",1
"assail",1
"bar",1
"billabl",1
"bookshelf",1
"burden",1
"cafe",1
"classroom",1
"cologn",1
"crinkl",1
"crossroad",1
"discomfort",1
"exam",1
"faker",1
"fold",1
"friday",1
"gestur",1
"grantsmanship",1
"gum",1
"harri",1
"heap",1
"homecom",1
"hotshot",1
"huh",1
"illustri",1
"impul",1
"insecur",1
"kill",1
"knock",1
"lemon",1
"neat",1
"nod",1
"noticeboard",1
"offenc",1
"pen",1
"permeat",1
"pleasantri",1
"polish",1
"preoccupi",1
"princip",1
"quieter",1
"resum",1
"ruefulli",1
"shelf",1
"shoe",1
"silenc",1
"spearmint",1
"stood",1
"stuck",1
"terribl",1
"thrust",1
"trademark",1
"unscath",1
"useless",1
"vehement",1
"warm",1
"weekend",1
"adult",1
"assess",1
"barber’",1
"barrier",1
"chao",1
"decr",1
"demarco",1
"freeli",1
"generatedor",1
"highest",1
"inver",1
"lister",1
"manager’",1
"matrixorgan",1
"occupi",1
"organation’",1
"pachyderm",1
"preexist",1
"proverbi",1
"qualit",1
"receivership",1
"shed",1
"smallest",1
"smooth",1
"tempt",1
"therein",1
"timothi",1
"tricki",1
"waltz",1
"weak",1
"weakneg",1
"aretradit",1
"bank",1
"barri",1
"detractor",1
"discont",1
"fore",1
"inextr",1
"infin",1
"interwoven",1
"louder",1
"merri",1
"portfolio",1
"rudimentari",1
"rumbl",1
"rush",1
"strategicadvantag",1
"suffic",1
"tension",1
"unproven",1
"wax",1
"weaken",1
"ahistor",1
"albert",1
"antithet",1
"approx",1
"attun",1
"barack",1
"bern",1
"bicycl",1
"biographi",1
"clearer",1
"compri",1
"cryptic",1
"devot",1
"discontinu",1
"disharmoni",1
"einsteinian",1
"fresh",1
"georg",1
"ghostwrit",1
"gilder",1
"habit",1
"hadbeen",1
"handmann",1
"hawk",1
"heideggerian",1
"humil",1
"instant",1
"landmark",1
"lay",1
"malfunct",1
"martin",1
"mindset",1
"monstrous",1
"obama",1
"oneself",1
"overhyp",1
"overst",1
"overus",1
"patent",1
"periph",1
"philanthropi",1
"portion",1
"postmodernist",1
"preserv",1
"propon",1
"quintessenti",1
"readabl",1
"religion",1
"reorgan",1
"sec",1
"sideshow",1
"strand",1
"substitut",1
"thepostmodern",1
"thesi",1
"unnatur",1
"unordinari",1
"vacuum",1
"wiser",1
"absenc",1
"appetit",1
"asymmetri",1
"chose",1
"clump",1
"cogni",1
"deni",1
"don",1
"dreschsler",1
"endem",1
"grand",1
"inconveni",1
"leap",1
"leonard",1
"lotteri",1
"mareil",1
"mathemat",1
"matrix",1
"maxim",1
"parallel",1
"predat",1
"procrustean",1
"quantifi",1
"rarer",1
"sight",1
"spoil",1
"tempera",1
"uneasi",1
"winner",1
"zero",1
"alik",1
"aliv",1
"anthropologist",1
"block",1
"catalogu",1
"classmat",1
"cling",1
"coke",1
"crash",1
"dare",1
"dogma",1
"fifth",1
"grail",1
"grave",1
"heartburn",1
"holi",1
"inabl",1
"insensit",1
"item",1
"liven",1
"mar",1
"neednt",1
"pepsi",1
"pharmaceut",1
"quirk",1
"retreat",1
"silent",1
"sleepless",1
"superb",1
"thereaft",1
"variant",1
"vast",1
"wealth",1
"academia",1
"accommod",1
"bandi",1
"batesonian",1
"blur",1
"burnout",1
"decept",1
"degrad",1
"depress",1
"dual",1
"ecolog",1
"encroach",1
"fragment",1
"fun",1
"fuzzi",1
"guidanc",1
"hungri",1
"inaccess",1
"incom",1
"jack",1
"jill",1
"justifi",1
"lifestyl",1
"needless",1
"noi",1
"noun",1
"overnight",1
"perpetu",1
"prosper",1
"redeploy",1
"region",1
"scandinavia",1
"spatial",1
"synergi",1
"tempor",1
"therebi",1
"uncommit",1
"unionist",1
"workday",1
